district_id,event_index,event_volume,mean_intensity,max_intensity,duration,peak_anomaly,rise_gradient,decay_gradient,rcvr,rainfall_type,rainfall_type_name
1009007,35,25.1018,8.367266666666668,13.8862,3,228.96,2.439133333333333,0.42513333333333253,3.0,3,Type 3
1009007,36,12.3293,12.3293,12.3293,1,127.8344,0.0,0.0,1.0,0,Type 0
1009007,37,87.7664,29.255466666666667,55.6287,3,289.2885,21.203599999999998,17.558866666666663,3.0,4,Type 4
1009007,38,7.5749,7.5749,7.5749,1,77.5098,0.0,0.0,1.0,0,Type 0
1009007,39,217.77249999999998,21.77725,56.7665,10,172.7266,0.8173700000000002,17.761680000000002,10.0,5,Type 5
1009007,40,23.7963,7.932099999999999,13.1796,3,160.5132,3.2235666666666662,5.2894,3.0,3,Type 3
1009007,41,84.14970000000001,14.024950000000002,27.1737,6,182.5688,1.3702666666666665,8.470066666666666,6.0,5,Type 5
1009007,42,18.2335,18.2335,18.2335,1,121.8618,0.0,0.0,1.0,0,Type 0
1009007,43,218.4971,21.849709999999998,38.515,10,144.9241,4.0712600000000005,15.61617,10.0,5,Type 5
1009007,44,6.982,6.982,6.982,1,132.8009,0.0,0.0,1.0,0,Type 0
1009007,45,175.6587,19.517633333333336,45.012,9,256.766,6.191622222222223,16.577511111111114,9.0,5,Type 5
1009007,46,32.5329,10.844299999999999,19.8084,3,273.8087,-2.8623,-8.922133333333335,3.0,4,Type 4
1009007,47,5.1796,5.1796,5.1796,1,75.8838,0.0,0.0,1.0,0,Type 0
1009007,48,79.23949999999999,9.904937499999999,17.2096,8,72.3037,0.9940125000000002,2.524700000000001,8.0,5,Type 5
1009007,49,12.8863,6.44315,7.3234,2,149.3975,3.1557,-0.7215500000000006,2.0,2,Type 2
1009007,50,216.05390000000003,18.00449166666667,41.4671,12,342.7764,2.4945166666666667,9.855791666666667,12.0,5,Type 5
1009007,51,7.8144,7.8144,7.8144,1,141.4315,0.0,0.0,1.0,0,Type 0
1009007,52,133.2037,14.80041111111111,22.5269,9,96.5787,1.1084555555555557,4.870922222222221,9.0,5,Type 5
1009007,53,23.8443,11.92215,14.5449,2,172.5675,5.8413,6.194650000000001,2.0,2,Type 2
1009007,54,10.006,10.006,10.006,1,77.0421,0.0,0.0,1.0,0,Type 0
1009007,55,46.1556,11.5389,12.479,4,111.3584,2.0044750000000002,4.817349999999999,4.0,3,Type 3
1009007,56,10.0659,10.0659,10.0659,1,79.0218,0.0,0.0,1.0,0,Type 0
1009007,57,5.024,5.024,5.024,1,111.7067,0.0,0.0,1.0,0,Type 0
1009007,58,171.461,19.051222222222222,52.3892,9,160.4858,-0.19228888888888918,11.999333333333333,9.0,5,Type 5
1009007,59,5.1856,5.1856,5.1856,1,88.4111,0.0,0.0,1.0,0,Type 0
